keyword,frequency,avg_score,paper_ids_str
genai educational setting,443,0.8585688198182555,"6,8,10,61,66,69,80,86,101,146,155,157,167,170,172,173,204,205,206,213,215,227,231,235,242,250,258,261,267,277,279,280,281,285,290,293,299,316,318,330,333,347,357,370,379,387,399,411,422,423,425,431,445,460,467,473,478,484,487,488,489,493,499,512,520,543,572,573,575,587,588,604,615,639,642,650,652,696,713,720,724,729,745,755,764,768,775,777,810,825,827,833,845,851,854,859,867,894,908,915,917,932,935,961,970,974,979,981,982,986,991,999,1005,1007,1013,1028,1047,1062,1079,1086,1111,1184,1198,1208,1213,1226,1229,1234,1239,1257,1274,1275,1280,1292,1295,1296,1306,1324,1335,1337,1345,1347,1349,1362,1372,1396,1399,1407,1413,1416,1423,1432,1440,1441,1445,1452,1478,1481,1511,1516,1523,1524,1525,1526,1543,1545,1552,1556,1559,1569,1575,1576,1615,1630,1640,1660,1679,1706,1726,1742,1750,1753,1759,1760,1761,1764,1771,1773,1805,1822,1825,1835,1838,1848,1852,1855,1863,1871,1873,1881,1902,1914,1922,1943,1968,1970,1994,2007,2029,2045,2046,2047,2057,2061,2087,2096,2105,2111,2113,2115,2120,2125,2130,2134,2156,2173,2198,2205,2222,2224,2249,2259,2260,2261,2265,2266,2268,2301,2302,2305,2310,2327,2331,2341,2342,2346,2358,2384,2386,2387,2390,2408,2417,2420,2425,2433,2435,2449,2462,2474,2483,2489,2501,2511,2519,2547,2554,2571,2572,2585,2590,2593,2594,2602,2620,2625,2633,2654,2667,2669,2670,2671,2674,2684,2701,2716,2723,2726,2727,2728,2744,2748,2763,2781,2817,2818,2833,2845,2858,2859,2888,2895,2897,2898,2901,2919,2921,2957,2969,2994,2997,3005,3010,3013,3066,3070,3094,3099,3107,3136,3138,3141,3144,3152,3160,3161,3165,3191,3202,3203,3213,3230,3234,3237,3247,3250,3253,3275,3288,3299,3308,3343,3345,3351,3360,3365,3374,3380,3381,3394,3395,3396,3405,3406,3408,3412,3426,3448,3465,3472,3484,3485,3502,3517,3528,3535,3551,3552,3564,3595,3598,3611,3612,3629,3630,3636,3661,3664,3710,3712,3736,3740,3744,3771,3772,3778,3781,3786,3797,3811,3815,3816,3838,3839,3840,3851,3854,3857,3863,3865,3866,3880,3919,3924,3926,3940,3946,3954,3955,3961,3963,3969,3970,3977,3978,4017,4026,4029,4051,4052,4064,4070,4096,4099,4119,4127,4135,4147,4148,4150,4175,4177,4188,4194,4202,4208,4218,4219,4223,4228,4234,4257,4263"
genai,431,0.7594436362650127,"20,26,55,57,64,67,103,104,122,133,149,166,191,201,203,224,229,235,245,255,298,299,304,323,331,336,350,358,361,367,370,393,403,407,409,429,431,432,446,449,480,481,482,502,508,512,533,535,551,553,554,563,580,590,624,630,652,656,675,677,721,724,734,744,746,747,749,750,761,763,788,790,801,804,813,817,821,823,838,841,848,863,883,899,900,902,905,936,937,942,949,963,976,977,985,991,992,1000,1014,1017,1026,1038,1050,1057,1070,1077,1080,1087,1097,1100,1102,1103,1115,1122,1143,1146,1149,1156,1159,1176,1187,1189,1194,1243,1250,1264,1283,1287,1288,1291,1297,1298,1299,1302,1313,1318,1331,1338,1342,1361,1369,1378,1379,1381,1392,1422,1431,1437,1438,1441,1443,1453,1457,1458,1466,1477,1479,1481,1491,1499,1500,1505,1510,1519,1520,1528,1541,1578,1619,1622,1628,1635,1646,1651,1667,1677,1687,1695,1705,1736,1757,1762,1784,1808,1818,1844,1873,1884,1887,1893,1897,1913,1921,1924,1925,1931,1934,1952,1957,1975,1981,1983,1986,1991,2008,2013,2021,2045,2051,2083,2085,2086,2092,2105,2112,2117,2159,2168,2172,2181,2187,2191,2195,2197,2210,2240,2243,2253,2262,2272,2275,2276,2293,2305,2319,2334,2340,2353,2367,2383,2392,2395,2423,2425,2428,2445,2450,2454,2496,2503,2504,2510,2520,2541,2560,2579,2602,2605,2644,2651,2655,2661,2677,2681,2747,2760,2774,2775,2777,2780,2783,2786,2814,2820,2834,2841,2847,2850,2861,2885,2891,2913,2923,2925,2929,2936,2942,2976,2993,3008,3009,3014,3016,3025,3027,3029,3059,3068,3072,3083,3090,3106,3114,3135,3143,3149,3157,3175,3180,3186,3187,3191,3213,3227,3240,3241,3249,3252,3254,3256,3257,3259,3262,3264,3267,3291,3292,3310,3367,3369,3385,3392,3404,3407,3410,3431,3432,3437,3444,3450,3453,3454,3458,3464,3466,3497,3508,3522,3527,3529,3541,3542,3549,3560,3563,3569,3581,3585,3595,3625,3632,3635,3636,3641,3649,3659,3668,3680,3687,3700,3705,3707,3708,3717,3733,3738,3742,3746,3759,3760,3765,3795,3813,3830,3832,3833,3840,3848,3852,3854,3856,3858,3862,3867,3875,3893,3908,3927,3930,3931,3945,3995,3996,4024,4042,4043,4051,4067,4076,4107,4124,4125,4126,4136,4145,4151,4160,4171,4183,4193,4201,4203,4213,4220,4232,4236,4252,4258,4262,4267,4276"
chatgpt,231,0.7634584415584418,"8,70,103,146,190,243,244,248,250,276,280,294,295,298,317,323,333,354,361,408,410,417,430,440,442,449,450,453,464,477,494,495,498,556,572,619,640,703,706,713,733,746,752,761,764,783,818,864,881,934,935,937,938,939,945,948,988,1007,1042,1043,1044,1057,1071,1083,1108,1132,1138,1185,1209,1214,1215,1216,1247,1252,1312,1342,1348,1360,1399,1415,1492,1526,1556,1560,1567,1572,1605,1627,1654,1740,1747,1750,1761,1782,1789,1855,1915,1927,1931,1973,2029,2031,2089,2138,2207,2245,2249,2262,2265,2302,2304,2336,2339,2379,2380,2447,2453,2464,2518,2569,2589,2595,2602,2615,2654,2671,2674,2675,2676,2679,2680,2686,2697,2729,2744,2769,2813,2835,2843,2885,2954,2994,3070,3073,3115,3118,3137,3153,3192,3200,3202,3205,3234,3238,3241,3245,3286,3298,3308,3327,3332,3351,3357,3363,3372,3375,3376,3393,3405,3439,3440,3450,3454,3470,3472,3479,3482,3484,3522,3532,3551,3618,3631,3637,3641,3668,3670,3678,3682,3703,3714,3719,3794,3832,3833,3861,3915,3917,3919,3928,3941,3962,3978,3995,3996,3999,4014,4027,4030,4046,4064,4070,4076,4078,4102,4118,4138,4145,4147,4179,4202,4211,4219,4221,4222,4242,4256,4261,4266,4280,4282"
artificial intelligence,204,0.7304524509803922,"12,18,24,75,82,101,124,126,151,176,190,257,266,309,316,325,363,450,452,483,508,528,597,599,640,649,654,701,732,736,737,748,792,816,825,832,843,854,868,885,904,955,956,979,990,1002,1019,1046,1047,1050,1071,1087,1100,1133,1188,1227,1243,1291,1347,1380,1392,1408,1415,1423,1425,1472,1500,1506,1510,1512,1555,1558,1572,1574,1608,1619,1636,1707,1718,1721,1727,1731,1786,1876,1882,1899,1905,1916,1948,1970,2005,2087,2122,2131,2132,2196,2204,2205,2274,2315,2316,2345,2381,2406,2505,2580,2695,2702,2706,2736,2821,2857,2885,2896,2901,2968,2991,2998,3019,3020,3051,3063,3105,3121,3122,3125,3138,3151,3199,3209,3226,3245,3251,3262,3272,3281,3284,3289,3290,3293,3304,3307,3317,3318,3342,3358,3361,3372,3384,3394,3399,3414,3432,3441,3449,3451,3485,3491,3498,3510,3523,3526,3548,3567,3572,3577,3586,3604,3617,3619,3635,3649,3656,3682,3699,3718,3723,3730,3737,3739,3744,3776,3786,3788,3793,3827,3916,3923,3934,3963,3972,3979,3986,4014,4017,4054,4060,4078,4130,4135,4175,4220,4235,4274"
chatbot,117,0.7884094017094017,"54,62,69,87,88,132,157,175,177,178,225,234,340,496,514,518,574,576,626,739,740,742,768,879,895,933,964,999,1056,1158,1167,1219,1231,1265,1271,1284,1362,1365,1436,1448,1463,1465,1488,1496,1528,1540,1557,1596,1599,1698,1744,1787,1790,1812,1897,1998,2034,2081,2083,2153,2197,2237,2288,2311,2317,2324,2356,2359,2383,2396,2455,2493,2494,2503,2523,2527,2528,2593,2629,2764,2887,2915,2933,3081,3117,3167,3188,3204,3244,3279,3303,3310,3353,3397,3528,3596,3647,3669,3671,3672,3673,3712,3721,3747,3839,3856,3858,3890,3907,3954,3957,3963,4034,4088,4122,4136,4178"
ai education,117,0.8264467993341407,"103,165,197,218,221,264,296,322,433,455,456,537,550,576,614,684,810,843,865,905,914,917,979,987,1008,1043,1049,1135,1158,1225,1369,1402,1413,1547,1584,1644,1662,1758,1765,1843,1856,1881,1940,1943,1948,2127,2147,2192,2219,2230,2252,2292,2316,2334,2349,2401,2433,2465,2499,2572,2593,2596,2702,2710,2806,2858,2860,2869,2934,3071,3076,3096,3097,3102,3103,3105,3162,3169,3170,3174,3195,3236,3244,3255,3276,3289,3337,3372,3374,3396,3422,3423,3465,3470,3549,3574,3581,3650,3720,3723,3807,3880,3921,3947,3949,3959,3960,4002,4008,4009,4019,4102,4137,4189,4195,4216,4275"
academic integrity,102,0.7595637254901959,"7,8,132,144,210,215,257,266,282,297,376,379,388,389,412,422,549,555,804,822,899,953,980,994,996,1079,1107,1119,1133,1236,1240,1241,1248,1324,1398,1519,1548,1559,1632,1636,1700,1707,1768,1784,1818,1875,1883,1914,1919,1965,2074,2249,2451,2461,2507,2519,2626,2633,2660,2668,2763,2800,2861,2895,2919,2930,2957,2961,2978,2980,3001,3030,3041,3117,3161,3177,3209,3233,3234,3289,3407,3471,3483,3526,3551,3569,3598,3633,3637,3775,3789,3819,3854,3922,3924,4127,4172,4175,4194,4235,4259,4263"
ethical consideration,85,0.6783988235294118,"73,103,150,186,206,232,345,450,455,479,619,633,710,762,780,827,839,854,856,859,988,1167,1213,1223,1247,1257,1298,1383,1392,1411,1437,1444,1455,1578,1609,1638,1772,1846,1852,2016,2045,2055,2135,2168,2173,2203,2230,2389,2418,2474,2621,2624,2670,2773,2859,2901,2914,2994,3074,3101,3131,3162,3226,3246,3329,3343,3385,3501,3512,3524,3582,3611,3640,3670,3749,3818,3977,3996,4019,4066,4077,4147,4202,4211,4238"
genai software engineering,72,0.8291951388888888,"37,140,251,287,369,374,417,506,644,696,812,884,1079,1084,1147,1287,1493,1515,1517,1645,1748,1906,1999,2061,2093,2106,2115,2120,2154,2266,2279,2332,2364,2416,2564,2581,2693,2698,2880,2933,2962,3185,3222,3261,3400,3566,3572,3575,3628,3647,3658,3675,3732,3763,3781,3829,3831,3862,3875,3879,3888,3901,3934,4002,4024,4063,4100,4101,4117,4123,4159,4253"
deep learning,62,0.7274435483870967,"50,52,53,60,90,126,187,462,515,801,846,888,998,1016,1086,1207,1249,1275,1316,1488,1492,1672,1813,1951,2023,2038,2170,2174,2248,2324,2337,2341,2457,2473,2634,2651,2697,2700,2955,2992,3006,3017,3036,3181,3260,3264,3325,3337,3347,3493,3533,3602,3724,3728,3750,3760,3889,3898,3966,3983,4092,4143"
